#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
1,"Dark Darker Darkest - Reglas en castellano, como nuevo",luispe,Cuenca / Ciudad Real,kiala o entrega en mano
2,"Bauhaus - Edge, la caja tiene algunas manchas",luispe,Cuenca / Ciudad Real,kiala o entrega en mano
3,"Blood bowl team manager - edge, cartas grandes enfundadas",luispe,Cuenca / Ciudad Real,kiala o entrega en mano
4,Pack dos jugadores: hive+passing shot+los principes de catan,luispe,Cuenca / Ciudad Real,kiala o entrega en mano
5,Space Hulk: Death angel - Español y enfundado,luispe,Cuenca / Ciudad Real,kiala o entrega en mano
6,Krosmaster Arena - En español y enfundado,luispe,Cuenca / Ciudad Real,kiala o entrega en mano
7,Chicago Express Español. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
8,Five Points: Gangs of New York English first edition. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
9,Panzer Armee Afrika Avalon Hill 1982. Muy buen estado.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
10,Phoenicia Inglés. Esquina abierta en la caja. Lo demás perfecto.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
11,Steel Driver Alemán. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
12,Sylla Alemán. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
13,Toledo Español. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
14,Vasco da Gama Alemán. Como nuevo.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
15,PACK: Pack Eurogames League of Six + Stalag 17 Ambos como nuevos.,Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
16,"PACK: Pack Wargames Avalon Hill The Arab-Israeli Wars + War and Peace The Arab-Israeli Wars: Avalon Hill 1977. Muchas marcas de desgaste en la caja, y el War and Peace: Avalon Hill 1980. Estado regular. Caja con cinta adhesiva alrededor del lateral. Counters desgastados. Faltan 3 counters.",Valentín Morillas,Málaga,Kiala o Puntopack preferentemente
17,"Alarm! - Nuevo, sin abrir.",ardacho,Castellón,Kiala (preferido) o Corre
18,Barça Toons,ardacho,Castellón,Kiala (preferido) o Corre
19,"Card City - Nuevo, sin abrir.",ardacho,Castellón,Kiala (preferido) o Corre
20,Crisis - En muy buen estado,ardacho,Castellón,Kiala (preferido) o Corre
21,Crisis: Tokyo - En perfecto estado,ardacho,Castellón,Kiala (preferido) o Corre
22,Famiglia - En muy buen estado,ardacho,Castellón,Kiala (preferido) o Corre
23,Heads of State - En perfecto estado. Se incluyen reglas en castellano,ardacho,Castellón,Kiala (preferido) o Corre
24,Intrigo - En perfecto estado,ardacho,Castellón,Kiala (preferido) o Corre
25,"JetSet Casino - Nuevo, sin abrir",ardacho,Castellón,Kiala (preferido) o Corre
26,La Brújula Dorada - En muy buen estado,ardacho,Castellón,Kiala (preferido) o Corre
27,Las Leyendas de Andor: Los Héroes de Córdoba,ardacho,Castellón,Kiala (preferido) o Corre
28,Ostia: Der Hafen Roms - En perfecto estado. Se incluyen reglas en castellano,ardacho,Castellón,Kiala (preferido) o Corre
29,"Redshirts - Nuevo, sin abrir.",ardacho,Castellón,Kiala (preferido) o Corre
30,Salamanca - En perfecto estado. Se incluyen reglas en castellano,ardacho,Castellón,Kiala (preferido) o Corre
31,Slavika - En muy buen estado.,ardacho,Castellón,Kiala (preferido) o Corre
32,Star Trek Deck Building Game: The Next Generation – Release Date Ad Card – Jean-Luc Picard,ardacho,Castellón,Kiala (preferido) o Corre
33,Star Trek: The Card Game - All cards from the Base Set+All cards from Starfleet Maneuvers+7 Promos,ardacho,Castellón,Kiala (preferido) o Corre
34,"Toledo 1085 - Edición francesa, incluyo reglas en castellano.",ardacho,Castellón,Kiala (preferido) o Corre
35,"PACK: Pack Catan Catan: Edición Mallorca + Catan: El juego de Cartas + Los Colonos de Catán: El juego de dados (Nuevo, sin abrir)",ardacho,Castellón,Kiala (preferido) o Corre
36,PACK: Promos 7 Wonders 7 Wonders: Leaders – Louis + 7 Wonders: Leaders – Nimrod + 7 Wonders: Leaders – Stevie,ardacho,Castellón,Kiala (preferido) o Corre
37,Android: Netrunner - Como nuevo,iMisut,Asturias,Kiala o Envialia
38,Jupiter Rescue - Como nuevo,iMisut,Asturias,Kiala o Envialia
39,PACK: Pack Nacional Ajo y Agua (Como nuevo) + Red Code (Como nuevo),iMisut,Asturias,Kiala o Envialia
40,"Battleship Galaxies: The Saturn Offensive Game Set - Dos copias del juego en una sola caja. Caja con pequeño golpe en una esquina. Por lo demás, como nuevo",karjedon,Huelva,kiala
41,Car Wars - Incluye expansiones Muskogee y L'Outrance (Joc Internacional). Todo sin estrenar,karjedon,Huelva,kiala
42,"España 1936 - Incluye expansión La Armada, cartas enfundadas, como nuevo",karjedon,Huelva,kiala
43,"Europa Universalis - Incluye expansión nº 1, ed. en inglés, caja algo gastada, clipeado, sin estrenar",karjedon,Huelva,kiala
44,"Moto Grand Prix - Reglas en español, como nuevo",karjedon,Huelva,kiala
45,"Sails of Glory - pack de los 4 barcos del juego básico con sus tarjetas y mazos de maniobra (sólo los barcos, no es el juego completo), independiente del idioma, sin estrenar",karjedon,Huelva,kiala
46,"Verbalia: Juegos - Ed. española, sin estrenar",karjedon,Huelva,kiala
47,"1860: Railways on the Isle of Wight - Sin jugar, no destroquelado.",mymenda,Huelva y Sevilla,kiala o similar
48,"Alta Tensión - Edición alemana, en perfectas condiciones, tuckboxes para las cartas. Reglas en español",mymenda,Huelva y Sevilla,kiala o similar
49,"Black Friday - No jugado, impecable",mymenda,Huelva y Sevilla,kiala o similar
50,Cash-a-Catch - Juego jugado pero en perfectas condiciones,mymenda,Huelva y Sevilla,kiala o similar
51,De mudanzas - Juego bastante jugado. En perfectas condiciones,mymenda,Huelva y Sevilla,kiala o similar
52,Escaladores - Caja bastante tocada por el paso del tiempo y el peso del juego... sobre todo la sobrecubierta. Las piezas en perfecto estado.,mymenda,Huelva y Sevilla,kiala o similar
53,"Feudality - Nuevo, sin jugar.",mymenda,Huelva y Sevilla,kiala o similar
54,It Happens.. - Buen estado,mymenda,Huelva y Sevilla,kiala o similar
55,Nippon Rails - Sin jugar. Caja algo tocada en una esquina. (mando foto a interesado),mymenda,Huelva y Sevilla,kiala o similar
56,Test of Fire: Bull Run 1861 - Solo un par de partidas,mymenda,Huelva y Sevilla,kiala o similar
